Jahr,1_Merkmal_Code,1_Auspraegung_Label,2_Auspraegung_Label,3_Merkmal_Code,3_Merkmal_Label,3_Auspraegung_Code,3_Auspraegung_Label,birth
1999,DLAND,Bayern,Dezember,GES,Geschlecht,,Insgesamt,9770
1999,DLAND,Berlin,Januar,GES,Geschlecht,,Insgesamt,2665
1999,DLAND,Berlin,Februar,GES,Geschlecht,,Insgesamt,2178
1999,DLAND,Berlin,Maerz,GES,Geschlecht,,Insgesamt,2437
1999,DLAND,Berlin,April,GES,Geschlecht,,Insgesamt,2302
1999,DLAND,Berlin,Mai,GES,Geschlecht,,Insgesamt,2394
1999,DLAND,Berlin,Juni,GES,Geschlecht,,Insgesamt,2535
1999,DLAND,Berlin,Juli,GES,Geschlecht,,Insgesamt,2689
1999,DLAND,Berlin,August,GES,Geschlecht,,Insgesamt,2515
1999,DLAND,Berlin,September,GES,Geschlecht,,Insgesamt,2600
1999,DLAND,Berlin,Oktober,GES,Geschlecht,,Insgesamt,2579
1999,DLAND,Berlin,November,GES,Geschlecht,,Insgesamt,2331
1999,DLAND,Berlin,Dezember,GES,Geschlecht,,Insgesamt,2631
1999,DLAND,Brandenburg,Januar,GES,Geschlecht,,Insgesamt,1497
1999,DLAND,Brandenburg,Februar,GES,Geschlecht,,Insgesamt,1419
1999,DLAND,Brandenburg,Maerz,GES,Geschlecht,,Insgesamt,1467
1999,DLAND,Brandenburg,April,GES,Geschlecht,,Insgesamt,1358
1999,DLAND,Brandenburg,Mai,GES,Geschlecht,,Insgesamt,1572
1999,DLAND,Brandenburg,Juni,GES,Geschlecht,,Insgesamt,1557
1999,DLAND,Brandenburg,Juli,GES,Geschlecht,,Insgesamt,1621
1999,DLAND,Brandenburg,August,GES,Geschlecht,,Insgesamt,1598
1999,DLAND,Brandenburg,September,GES,Geschlecht,,Insgesamt,1580
1999,DLAND,Brandenburg,Oktober,GES,Geschlecht,,Insgesamt,1506
1999,DLAND,Brandenburg,November,GES,Geschlecht,,Insgesamt,1340
1999,DLAND,Brandenburg,Dezember,GES,Geschlecht,,Insgesamt,1413
1999,DLAND,Bremen,Januar,GES,Geschlecht,,Insgesamt,541
1999,DLAND,Bremen,Februar,GES,Geschlecht,,Insgesamt,467
1999,DLAND,Bremen,Maerz,GES,Geschlecht,,Insgesamt,497
1999,DLAND,Bremen,April,GES,Geschlecht,,Insgesamt,493
1999,DLAND,Bremen,Mai,GES,Geschlecht,,Insgesamt,536
1999,DLAND,Bremen,Juni,GES,Geschlecht,,Insgesamt,530
1999,DLAND,Bremen,Juli,GES,Geschlecht,,Insgesamt,547
1999,DLAND,Bremen,August,GES,Geschlecht,,Insgesamt,534
1999,DLAND,Bremen,September,GES,Geschlecht,,Insgesamt,538
1999,DLAND,Bremen,Oktober,GES,Geschlecht,,Insgesamt,493
1999,DLAND,Bremen,November,GES,Geschlecht,,Insgesamt,439
1999,DLAND,Bremen,Dezember,GES,Geschlecht,,Insgesamt,481
1999,DLAND,Hamburg,Januar,GES,Geschlecht,,Insgesamt,1391
1999,DLAND,Hamburg,Februar,GES,Geschlecht,,Insgesamt,1266
1999,DLAND,Hamburg,Maerz,GES,Geschlecht,,Insgesamt,1361
1999,DLAND,Hamburg,April,GES,Geschlecht,,Insgesamt,1281
1999,DLAND,Hamburg,Mai,GES,Geschlecht,,Insgesamt,1416
1999,DLAND,Hamburg,Juni,GES,Geschlecht,,Insgesamt,1383
1999,DLAND,Hamburg,Juli,GES,Geschlecht,,Insgesamt,1452
1999,DLAND,Hamburg,August,GES,Geschlecht,,Insgesamt,1434
1999,DLAND,Hamburg,September,GES,Geschlecht,,Insgesamt,1431
1999,DLAND,Hamburg,Oktober,GES,Geschlecht,,Insgesamt,1250
1999,DLAND,Hamburg,November,GES,Geschlecht,,Insgesamt,1287
1999,DLAND,Hamburg,Dezember,GES,Geschlecht,,Insgesamt,1082
1999,DLAND,Hessen,Januar,GES,Geschlecht,,Insgesamt,5067
1999,DLAND,Hessen,Februar,GES,Geschlecht,,Insgesamt,4626
1999,DLAND,Hessen,Maerz,GES,Geschlecht,,Insgesamt,4895
1999,DLAND,Hessen,April,GES,Geschlecht,,Insgesamt,4773
1999,DLAND,Hessen,Mai,GES,Geschlecht,,Insgesamt,5121
1999,DLAND,Hessen,Juni,GES,Geschlecht,,Insgesamt,5105
1999,DLAND,Hessen,Juli,GES,Geschlecht,,Insgesamt,5223
1999,DLAND,Hessen,August,GES,Geschlecht,,Insgesamt,5279
1999,DLAND,Hessen,September,GES,Geschlecht,,Insgesamt,5270
1999,DLAND,Hessen,Oktober,GES,Geschlecht,,Insgesamt,4748
1999,DLAND,Hessen,November,GES,Geschlecht,,Insgesamt,4259
1999,DLAND,Hessen,Dezember,GES,Geschlecht,,Insgesamt,4630
1999,DLAND,Mecklenburg-Vorpommern,Januar,GES,Geschlecht,,Insgesamt,1049
1999,DLAND,Mecklenburg-Vorpommern,Februar,GES,Geschlecht,,Insgesamt,947
1999,DLAND,Mecklenburg-Vorpommern,Maerz,GES,Geschlecht,,Insgesamt,1052
1999,DLAND,Mecklenburg-Vorpommern,April,GES,Geschlecht,,Insgesamt,1034
1999,DLAND,Mecklenburg-Vorpommern,Mai,GES,Geschlecht,,Insgesamt,1074
1999,DLAND,Mecklenburg-Vorpommern,Juni,GES,Geschlecht,,Insgesamt,1079
1999,DLAND,Mecklenburg-Vorpommern,Juli,GES,Geschlecht,,Insgesamt,1111
1999,DLAND,Mecklenburg-Vorpommern,August,GES,Geschlecht,,Insgesamt,1142
1999,DLAND,Mecklenburg-Vorpommern,September,GES,Geschlecht,,Insgesamt,1138
1999,DLAND,Mecklenburg-Vorpommern,Oktober,GES,Geschlecht,,Insgesamt,1013
1999,DLAND,Mecklenburg-Vorpommern,November,GES,Geschlecht,,Insgesamt,975
1999,DLAND,Mecklenburg-Vorpommern,Dezember,GES,Geschlecht,,Insgesamt,975
